Timestamp,Field_ID,Asset_ID,Ambient_Temperature_C,Humidity_Percentage,Daily_Rainfall_mm,Soil_Moisture_Percentage,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm
2023-01-01,FLD_01,EQP_001,18.3,38.7,0.0,46.0,52.6,31.4,46.1
2023-01-01,FLD_02,EQP_002,14.0,34.8,0.0,46.6,34.7,21.4,36.6
2023-01-01,FLD_03,EQP_003,25.4,56.7,0.0,24.5,32.9,26.9,43.6
2023-01-01,FLD_04,EQP_004,37.9,57.4,0.0,39.8,53.0,27.0,38.2
2023-01-01,FLD_05,EQP_005,13.9,58.6,0.0,45.1,50.0,28.9,42.3
2023-01-01,FLD_06,EQP_006,24.5,63.0,0.0,49.9,51.6,33.7,41.0
2023-01-02,FLD_01,EQP_001,15.9,37.1,0.0,56.2,45.7,23.3,34.7
2023-01-02,FLD_02,EQP_002,11.8,41.4,0.0,43.5,54.9,35.2,45.6
2023-01-02,FLD_03,EQP_003,26.0,51.7,0.2,27.3,48.5,24.5,32.8
2023-01-02,FLD_04,EQP_004,31.8,65.1,0.13,52.2,44.8,31.8,49.2
2023-01-02,FLD_05,EQP_005,16.2,55.7,0.0,44.6,49.5,22.9,46.3
2023-01-02,FLD_06,EQP_006,32.1,54.4,0.0,60.0,45.9,26.0,37.0
2023-01-03,FLD_01,EQP_001,20.0,43.4,0.0,58.2,51.4,28.5,44.0
2023-01-03,FLD_02,EQP_002,15.3,36.4,0.0,46.5,52.1,30.0,38.6
2023-01-03,FLD_03,EQP_003,24.0,50.8,0.0,30.2,48.7,31.1,27.9
2023-01-03,FLD_04,EQP_004,25.6,65.4,0.66,59.1,36.6,24.6,34.0
2023-01-03,FLD_05,EQP_005,16.7,35.8,0.0,43.4,52.4,29.8,33.0
2023-01-03,FLD_06,EQP_006,32.9,60.2,0.0,48.9,61.1,37.0,48.4
2023-01-04,FLD_01,EQP_001,12.8,40.9,0.0,49.0,45.5,30.5,37.0
2023-01-04,FLD_02,EQP_002,10.1,40.8,0.0,50.2,42.7,33.1,39.0
2023-01-04,FLD_03,EQP_003,27.6,47.1,0.0,30.2,40.2,31.1,47.8
2023-01-04,FLD_04,EQP_004,23.3,55.7,0.0,44.0,59.5,36.5,34.8
2023-01-04,FLD_05,EQP_005,18.8,52.3,0.0,46.7,44.3,39.3,42.8
2023-01-04,FLD_06,EQP_006,24.8,59.5,0.0,52.3,41.0,33.8,47.6
2023-01-05,FLD_01,EQP_001,18.0,49.5,0.0,51.5,44.0,25.6,35.1
2023-01-05,FLD_02,EQP_002,16.0,43.5,0.1,46.7,61.6,28.7,56.3
2023-01-05,FLD_03,EQP_003,31.1,47.4,0.0,25.0,48.9,29.4,44.4
2023-01-05,FLD_04,EQP_004,27.3,60.4,0.0,47.9,56.9,31.1,32.5
2023-01-05,FLD_05,EQP_005,17.0,44.0,0.0,46.3,43.5,35.3,40.3
2023-01-05,FLD_06,EQP_006,32.0,62.7,0.0,46.6,42.5,32.6,43.1
2023-01-06,FLD_01,EQP_001,18.4,78.6,0.0,62.2,57.9,31.2,41.1
